"DATE","TIME PERIOD","Euribor 1-year - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR1YD_.HSTA)"
"1994-01-31","1994Jan","6.3400000"
"1994-02-28","1994Feb","6.4200000"
"1994-03-31","1994Mar","6.5500000"
"1994-04-30","1994Apr","6.4600000"
"1994-05-31","1994May","6.2500000"
"1994-06-30","1994Jun","6.6200000"
"1994-07-31","1994Jul","6.7700000"
"1994-08-31","1994Aug","7.0800000"
"1994-09-30","1994Sep","7.3100000"
"1994-10-31","1994Oct","7.3000000"
"1994-11-30","1994Nov","7.1900000"
"1994-12-31","1994Dec","7.5100000"
"1995-01-31","1995Jan","7.6600000"
"1995-02-28","1995Feb","7.5000000"
"1995-03-31","1995Mar","8.0200000"
"1995-04-30","1995Apr","7.6300000"
"1995-05-31","1995May","7.2500000"
"1995-06-30","1995Jun","7.2400000"
"1995-07-31","1995Jul","7.1600000"
"1995-08-31","1995Aug","6.8300000"
"1995-09-30","1995Sep","6.5900000"
"1995-10-31","1995Oct","6.7600000"
"1995-11-30","1995Nov","6.4300000"
"1995-12-31","1995Dec","6.2100000"
"1996-01-31","1996Jan","5.6900000"
"1996-02-29","1996Feb","5.5600000"
"1996-03-31","1996Mar","5.5500000"
"1996-04-30","1996Apr","5.3200000"
"1996-05-31","1996May","5.0700000"
"1996-06-30","1996Jun","5.1900000"
"1996-07-31","1996Jul","5.1800000"
"1996-08-31","1996Aug","5.1600000"
"1996-09-30","1996Sep","4.9600000"
"1996-10-31","1996Oct","4.6700000"
"1996-11-30","1996Nov","4.5400000"
"1996-12-31","1996Dec","4.3900000"
"1997-01-31","1997Jan","4.2500000"
"1997-02-28","1997Feb","4.3200000"
"1997-03-31","1997Mar","4.5500000"
"1997-04-30","1997Apr","4.4700000"
"1997-05-31","1997May","4.3600000"
"1997-06-30","1997Jun","4.3300000"
"1997-07-31","1997Jul","4.3200000"
"1997-08-31","1997Aug","4.4900000"
"1997-09-30","1997Sep","4.4200000"
"1997-10-31","1997Oct","4.5500000"
"1997-11-30","1997Nov","4.5600000"
"1997-12-31","1997Dec","4.4100000"
"1998-01-31","1998Jan","4.2200000"
"1998-02-28","1998Feb","4.1700000"
"1998-03-31","1998Mar","4.0500000"
"1998-04-30","1998Apr","4.1200000"
"1998-05-31","1998May","4.1300000"
"1998-06-30","1998Jun","4.0800000"
"1998-07-31","1998Jul","4.0100000"
"1998-08-31","1998Aug","3.9300000"
"1998-09-30","1998Sep","3.7500000"
"1998-10-31","1998Oct","3.5900000"
"1998-11-30","1998Nov","3.5500000"
"1998-12-31","1998Dec","3.2700000"
"1999-01-31","1999Jan","3.0617000"
"1999-02-28","1999Feb","3.0296500"
"1999-03-31","1999Mar","3.0461739"
"1999-04-30","1999Apr","2.7564091"
"1999-05-31","1999May","2.6827143"
"1999-06-30","1999Jun","2.8362727"
"1999-07-31","1999Jul","3.0300000"
"1999-08-31","1999Aug","3.2372727"
"1999-09-30","1999Sep","3.3011364"
"1999-10-31","1999Oct","3.6836667"
"1999-11-30","1999Nov","3.6892273"
"1999-12-31","1999Dec","3.8263182"
"2000-01-31","2000Jan","3.9494762"
"2000-02-29","2000Feb","4.1114286"
"2000-03-31","2000Mar","4.2674783"
"2000-04-30","2000Apr","4.3645000"
"2000-05-31","2000May","4.8485000"
"2000-06-30","2000Jun","4.9649091"
"2000-07-31","2000Jul","5.1050476"
"2000-08-31","2000Aug","5.2484348"
"2000-09-30","2000Sep","5.2192381"
"2000-10-31","2000Oct","5.2184091"
"2000-11-30","2000Nov","5.1932727"
"2000-12-31","2000Dec","4.8809474"
"2001-01-31","2001Jan","4.5736364"
"2001-02-28","2001Feb","4.5913000"
"2001-03-31","2001Mar","4.4710909"
"2001-04-30","2001Apr","4.4810526"
"2001-05-31","2001May","4.5204545"
"2001-06-30","2001Jun","4.3124762"
"2001-07-31","2001Jul","4.3109091"
"2001-08-31","2001Aug","4.1075217"
"2001-09-30","2001Sep","3.7699500"
"2001-10-31","2001Oct","3.3693913"
"2001-11-30","2001Nov","3.1978636"
"2001-12-31","2001Dec","3.2980556"
"2002-01-31","2002Jan","3.4831818"
"2002-02-28","2002Feb","3.5936500"
"2002-03-31","2002Mar","3.8155500"
"2002-04-30","2002Apr","3.8602381"
"2002-05-31","2002May","3.9627273"
"2002-06-30","2002Jun","3.8687500"
"2002-07-31","2002Jul","3.6448261"
"2002-08-31","2002Aug","3.4404091"
"2002-09-30","2002Sep","3.2364286"
"2002-10-31","2002Oct","3.1259130"
"2002-11-30","2002Nov","3.0173810"
"2002-12-31","2002Dec","2.8715500"
"2003-01-31","2003Jan","2.7045455"
"2003-02-28","2003Feb","2.5035500"
"2003-03-31","2003Mar","2.4111905"
"2003-04-30","2003Apr","2.4469500"
"2003-05-31","2003May","2.2520952"
"2003-06-30","2003Jun","2.0136667"
"2003-07-31","2003Jul","2.0760870"
"2003-08-31","2003Aug","2.2786190"
"2003-09-30","2003Sep","2.2575909"
"2003-10-31","2003Oct","2.3025217"
"2003-11-30","2003Nov","2.4103500"
"2003-12-31","2003Dec","2.3807619"
"2004-01-31","2004Jan","2.2162857"
"2004-02-29","2004Feb","2.1630500"
"2004-03-31","2004Mar","2.0550435"
"2004-04-30","2004Apr","2.1626500"
"2004-05-31","2004May","2.2974286"
"2004-06-30","2004Jun","2.4044091"
"2004-07-31","2004Jul","2.3610455"
"2004-08-31","2004Aug","2.3020000"
"2004-09-30","2004Sep","2.3770455"
"2004-10-31","2004Oct","2.3160952"
"2004-11-30","2004Nov","2.3283182"
"2004-12-31","2004Dec","2.3010435"
"2005-01-31","2005Jan","2.3120952"
"2005-02-28","2005Feb","2.3100000"
"2005-03-31","2005Mar","2.3347619"
"2005-04-30","2005Apr","2.2650952"
"2005-05-31","2005May","2.1932727"
"2005-06-30","2005Jun","2.1028182"
"2005-07-31","2005Jul","2.1680000"
"2005-08-31","2005Aug","2.2228696"
"2005-09-30","2005Sep","2.2195000"
"2005-10-31","2005Oct","2.4135714"
"2005-11-30","2005Nov","2.6843636"
"2005-12-31","2005Dec","2.7832857"
"2006-01-31","2006Jan","2.8334545"
"2006-02-28","2006Feb","2.9141500"
"2006-03-31","2006Mar","3.1053478"
"2006-04-30","2006Apr","3.2214444"
"2006-05-31","2006May","3.3078182"
"2006-06-30","2006Jun","3.4005455"
"2006-07-31","2006Jul","3.5386190"
"2006-08-31","2006Aug","3.6151304"
"2006-09-30","2006Sep","3.7153333"
"2006-10-31","2006Oct","3.7991818"
"2006-11-30","2006Nov","3.8636818"
"2006-12-31","2006Dec","3.9208947"
"2007-01-31","2007Jan","4.0644091"
"2007-02-28","2007Feb","4.0935500"
"2007-03-31","2007Mar","4.1055455"
"2007-04-30","2007Apr","4.2526842"
"2007-05-31","2007May","4.3731364"
"2007-06-30","2007Jun","4.5054762"
"2007-07-31","2007Jul","4.5638182"
"2007-08-31","2007Aug","4.6663478"
"2007-09-30","2007Sep","4.7245000"
"2007-10-31","2007Oct","4.6466522"
"2007-11-30","2007Nov","4.6072273"
"2007-12-31","2007Dec","4.7929474"
"2008-01-31","2008Jan","4.4980455"
"2008-02-29","2008Feb","4.3488571"
"2008-03-31","2008Mar","4.5900526"
"2008-04-30","2008Apr","4.8199091"
"2008-05-31","2008May","4.9938095"
"2008-06-30","2008Jun","5.3608095"
"2008-07-31","2008Jul","5.3932174"
"2008-08-31","2008Aug","5.3230476"
"2008-09-30","2008Sep","5.3839091"
"2008-10-31","2008Oct","5.2478261"
"2008-11-30","2008Nov","4.3504000"
"2008-12-31","2008Dec","3.4520000"
"2009-01-31","2009Jan","2.6216190"
"2009-02-28","2009Feb","2.1354000"
"2009-03-31","2009Mar","1.9089091"
"2009-04-30","2009Apr","1.7710000"
"2009-05-31","2009May","1.6444500"
"2009-06-30","2009Jun","1.6104545"
"2009-07-31","2009Jul","1.4119565"
"2009-08-31","2009Aug","1.3342857"
"2009-09-30","2009Sep","1.2610455"
"2009-10-31","2009Oct","1.2426364"
"2009-11-30","2009Nov","1.2305714"
"2009-12-31","2009Dec","1.2424091"
"2010-01-31","2010Jan","1.2321500"
"2010-02-28","2010Feb","1.2252000"
"2010-03-31","2010Mar","1.2151304"
"2010-04-30","2010Apr","1.2251500"
"2010-05-31","2010May","1.2493333"
"2010-06-30","2010Jun","1.2813182"
"2010-07-31","2010Jul","1.3733636"
"2010-08-31","2010Aug","1.4210455"
"2010-09-30","2010Sep","1.4204545"
"2010-10-31","2010Oct","1.4953810"
"2010-11-30","2010Nov","1.5405000"
"2010-12-31","2010Dec","1.5260870"
"2011-01-31","2011Jan","1.5499524"
"2011-02-28","2011Feb","1.7140000"
"2011-03-31","2011Mar","1.9240870"
"2011-04-30","2011Apr","2.0855789"
"2011-05-31","2011May","2.1471364"
"2011-06-30","2011Jun","2.1441364"
"2011-07-31","2011Jul","2.1826667"
"2011-08-31","2011Aug","2.0969130"
"2011-09-30","2011Sep","2.0669091"
"2011-10-31","2011Oct","2.1101429"
"2011-11-30","2011Nov","2.0439091"
"2011-12-31","2011Dec","2.0035238"
"2012-01-31","2012Jan","1.8366364"
"2012-02-29","2012Feb","1.6783333"
"2012-03-31","2012Mar","1.4985000"
"2012-04-30","2012Apr","1.3678421"
"2012-05-31","2012May","1.2660455"
"2012-06-30","2012Jun","1.2190476"
"2012-07-31","2012Jul","1.0608182"
"2012-08-31","2012Aug","0.8766087"
"2012-09-30","2012Sep","0.7398500"
"2012-10-31","2012Oct","0.6500870"
"2012-11-30","2012Nov","0.5879091"
"2012-12-31","2012Dec","0.5492778"
"2013-01-31","2013Jan","0.5753182"
"2013-02-28","2013Feb","0.5941500"
"2013-03-31","2013Mar","0.5449500"
"2013-04-30","2013Apr","0.5284286"
"2013-05-31","2013May","0.4837727"
"2013-06-30","2013Jun","0.5070500"
"2013-07-31","2013Jul","0.5253913"
"2013-08-31","2013Aug","0.5423182"
"2013-09-30","2013Sep","0.5434286"
"2013-10-31","2013Oct","0.5409565"
"2013-11-30","2013Nov","0.5063810"
"2013-12-31","2013Dec","0.5425000"
"2014-01-31","2014Jan","0.5621364"
"2014-02-28","2014Feb","0.5490000"
"2014-03-31","2014Mar","0.5772857"
"2014-04-30","2014Apr","0.6039500"
"2014-05-31","2014May","0.5922857"
"2014-06-30","2014Jun","0.5127143"
"2014-07-31","2014Jul","0.4875217"
"2014-08-31","2014Aug","0.4690952"
"2014-09-30","2014Sep","0.3623182"
"2014-10-31","2014Oct","0.3376087"
"2014-11-30","2014Nov","0.3347000"
"2014-12-31","2014Dec","0.3285238"
"2015-01-31","2015Jan","0.2981905"
"2015-02-28","2015Feb","0.2550500"
"2015-03-31","2015Mar","0.2123636"
"2015-04-30","2015Apr","0.1804500"
"2015-05-31","2015May","0.1654211"
"2015-06-30","2015Jun","0.1630455"
"2015-07-31","2015Jul","0.1672609"
"2015-08-31","2015Aug","0.1612857"
"2015-09-30","2015Sep","0.1535909"
"2015-10-31","2015Oct","0.1279091"
"2015-11-30","2015Nov","0.0789048"
"2015-12-31","2015Dec","0.0589091"
"2016-01-31","2016Jan","0.0423500"
"2016-02-29","2016Feb","-0.0078571"
"2016-03-31","2016Mar","-0.0123810"
"2016-04-30","2016Apr","-0.0097619"
"2016-05-31","2016May","-0.0125909"
"2016-06-30","2016Jun","-0.0280000"
"2016-07-31","2016Jul","-0.0560476"
"2016-08-31","2016Aug","-0.0483043"
"2016-09-30","2016Sep","-0.0570909"
"2016-10-31","2016Oct","-0.0687619"
"2016-11-30","2016Nov","-0.0740455"
"2016-12-31","2016Dec","-0.0804286"
"2017-01-31","2017Jan","-0.0945000"
"2017-02-28","2017Feb","-0.1059000"
"2017-03-31","2017Mar","-0.1096087"
"2017-04-30","2017Apr","-0.1190000"
"2017-05-31","2017May","-0.1272273"
"2017-06-30","2017Jun","-0.1490909"
"2017-07-31","2017Jul","-0.1540952"
"2017-08-31","2017Aug","-0.1563478"
"2017-09-30","2017Sep","-0.1682857"
"2017-10-31","2017Oct","-0.1797727"
"2017-11-30","2017Nov","-0.1889545"
"2017-12-31","2017Dec","-0.1897368"
"2018-01-31","2018Jan","-0.1886818"
"2018-02-28","2018Feb","-0.1912500"
"2018-03-31","2018Mar","-0.1910000"
"2018-04-30","2018Apr","-0.1897000"
"2018-05-31","2018May","-0.1880000"
"2018-06-30","2018Jun","-0.1814762"
"2018-07-31","2018Jul","-0.1795455"
"2018-08-31","2018Aug","-0.1692609"
"2018-09-30","2018Sep","-0.1662000"
"2018-10-31","2018Oct","-0.1538261"
"2018-11-30","2018Nov","-0.1474091"
"2018-12-31","2018Dec","-0.1286842"
"2019-01-31","2019Jan","-0.1158636"
"2019-02-28","2019Feb","-0.1084000"
"2019-03-31","2019Mar","-0.1087619"
"2019-04-30","2019Apr","-0.1122000"
"2019-05-31","2019May","-0.1339091"
"2019-06-30","2019Jun","-0.1902500"
"2019-07-31","2019Jul","-0.2833043"
"2019-08-31","2019Aug","-0.3562727"
"2019-09-30","2019Sep","-0.3391429"
"2019-10-31","2019Oct","-0.3042174"
"2019-11-30","2019Nov","-0.2719524"
"2019-12-31","2019Dec","-0.2614000"
"2020-01-31","2020Jan","-0.2534091"
"2020-02-29","2020Feb","-0.2881000"
"2020-03-31","2020Mar","-0.2656364"
"2020-04-30","2020Apr","-0.1082000"
"2020-05-31","2020May","-0.0813500"
"2020-06-30","2020Jun","-0.1474545"
"2020-07-31","2020Jul","-0.2788696"
"2020-08-31","2020Aug","-0.3589048"
"2020-09-30","2020Sep","-0.4145909"
"2020-10-31","2020Oct","-0.4660000"
"2020-11-30","2020Nov","-0.4806190"
"2020-12-31","2020Dec","-0.4966364"
"2021-01-31","2021Jan","-0.5047000"
