"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)"
"1994-01-31","1994Jan","6.9100000"
"1994-02-28","1994Feb","6.8600000"
"1994-03-31","1994Mar","6.7500000"
"1994-04-30","1994Apr","6.5700000"
"1994-05-31","1994May","6.2400000"
"1994-06-30","1994Jun","6.3000000"
"1994-07-31","1994Jul","6.3400000"
"1994-08-31","1994Aug","6.4300000"
"1994-09-30","1994Sep","6.3800000"
"1994-10-31","1994Oct","6.4300000"
"1994-11-30","1994Nov","6.4000000"
"1994-12-31","1994Dec","6.6900000"
"1995-01-31","1995Jan","6.6600000"
"1995-02-28","1995Feb","6.5900000"
"1995-03-31","1995Mar","7.5800000"
"1995-04-30","1995Apr","7.2900000"
"1995-05-31","1995May","7.0400000"
"1995-06-30","1995Jun","7.0800000"
"1995-07-31","1995Jul","6.9200000"
"1995-08-31","1995Aug","6.6600000"
"1995-09-30","1995Sep","6.5000000"
"1995-10-31","1995Oct","6.7500000"
"1995-11-30","1995Nov","6.4500000"
"1995-12-31","1995Dec","6.3200000"
"1996-01-31","1996Jan","5.8100000"
"1996-02-29","1996Feb","5.5800000"
"1996-03-31","1996Mar","5.5000000"
"1996-04-30","1996Apr","5.2700000"
"1996-05-31","1996May","5.0600000"
"1996-06-30","1996Jun","5.0800000"
"1996-07-31","1996Jul","5.0600000"
"1996-08-31","1996Aug","5.0800000"
"1996-09-30","1996Sep","4.8600000"
"1996-10-31","1996Oct","4.6900000"
"1996-11-30","1996Nov","4.5700000"
"1996-12-31","1996Dec","4.5000000"
"1997-01-31","1997Jan","4.3900000"
"1997-02-28","1997Feb","4.4300000"
"1997-03-31","1997Mar","4.5000000"
"1997-04-30","1997Apr","4.3900000"
"1997-05-31","1997May","4.3000000"
"1997-06-30","1997Jun","4.2900000"
"1997-07-31","1997Jul","4.3000000"
"1997-08-31","1997Aug","4.3600000"
"1997-09-30","1997Sep","4.3100000"
"1997-10-31","1997Oct","4.4400000"
"1997-11-30","1997Nov","4.4900000"
"1997-12-31","1997Dec","4.3700000"
"1998-01-31","1998Jan","4.2600000"
"1998-02-28","1998Feb","4.2400000"
"1998-03-31","1998Mar","4.1100000"
"1998-04-30","1998Apr","4.0900000"
"1998-05-31","1998May","4.0600000"
"1998-06-30","1998Jun","4.0200000"
"1998-07-31","1998Jul","3.9500000"
"1998-08-31","1998Aug","3.9300000"
"1998-09-30","1998Sep","3.9300000"
"1998-10-31","1998Oct","3.8100000"
"1998-11-30","1998Nov","3.6900000"
"1998-12-31","1998Dec","3.3700000"
"1999-01-31","1999Jan","3.1321000"
"1999-02-28","1999Feb","3.0934000"
"1999-03-31","1999Mar","3.0466957"
"1999-04-30","1999Apr","2.6964545"
"1999-05-31","1999May","2.5789524"
"1999-06-30","1999Jun","2.6266818"
"1999-07-31","1999Jul","2.6764545"
"1999-08-31","1999Aug","2.6950455"
"1999-09-30","1999Sep","2.7266818"
"1999-10-31","1999Oct","3.3756667"
"1999-11-30","1999Nov","3.4676818"
"1999-12-31","1999Dec","3.4460455"
"2000-01-31","2000Jan","3.3431429"
"2000-02-29","2000Feb","3.5367619"
"2000-03-31","2000Mar","3.7470435"
"2000-04-30","2000Apr","3.9252778"
"2000-05-31","2000May","4.3620455"
"2000-06-30","2000Jun","4.5017273"
"2000-07-31","2000Jul","4.5829048"
"2000-08-31","2000Aug","4.7770870"
"2000-09-30","2000Sep","4.8528095"
"2000-10-31","2000Oct","5.0412727"
"2000-11-30","2000Nov","5.0919545"
"2000-12-31","2000Dec","4.9391579"
"2001-01-31","2001Jan","4.7707273"
"2001-02-28","2001Feb","4.7558000"
"2001-03-31","2001Mar","4.7086364"
"2001-04-30","2001Apr","4.6820000"
"2001-05-31","2001May","4.6366818"
"2001-06-30","2001Jun","4.4535714"
"2001-07-31","2001Jul","4.4671364"
"2001-08-31","2001Aug","4.3535217"
"2001-09-30","2001Sep","3.9828500"
"2001-10-31","2001Oct","3.5998696"
"2001-11-30","2001Nov","3.3856818"
"2001-12-31","2001Dec","3.3448889"
"2002-01-31","2002Jan","3.3387727"
"2002-02-28","2002Feb","3.3571000"
"2002-03-31","2002Mar","3.3908000"
"2002-04-30","2002Apr","3.4069048"
"2002-05-31","2002May","3.4671364"
"2002-06-30","2002Jun","3.4640000"
"2002-07-31","2002Jul","3.4100000"
"2002-08-31","2002Aug","3.3519091"
"2002-09-30","2002Sep","3.3101429"
"2002-10-31","2002Oct","3.2612609"
"2002-11-30","2002Nov","3.1241429"
"2002-12-31","2002Dec","2.9410500"
"2003-01-31","2003Jan","2.8318182"
"2003-02-28","2003Feb","2.6874500"
"2003-03-31","2003Mar","2.5299524"
"2003-04-30","2003Apr","2.5333500"
"2003-05-31","2003May","2.4005238"
"2003-06-30","2003Jun","2.1518571"
"2003-07-31","2003Jul","2.1300435"
"2003-08-31","2003Aug","2.1404286"
"2003-09-30","2003Sep","2.1473182"
"2003-10-31","2003Oct","2.1435652"
"2003-11-30","2003Nov","2.1590500"
"2003-12-31","2003Dec","2.1463333"
"2004-01-31","2004Jan","2.0894762"
"2004-02-29","2004Feb","2.0705500"
"2004-03-31","2004Mar","2.0288261"
